,seriesuid,coordX,coordY,coordZ,class,probability,label
0,639399,312.7553,298.68228,29,32,0.973451,0
1,639399,311.0844,294.66434,29,32,0.9691896,0
2,407431,180.15103,129.52103,28,5,0.9999987,2
3,407431,277.51993,297.83585,28,32,0.80669016,0
4,639356,330.00226,273.9248,63,5,0.99997056,0
5,631673,395.32465,334.63727,24,1,0.99687827,0
6,680411,144.8441,251.76453,36,1,0.9978257,0
7,689326,201.85204,349.6291,40,1,0.8369724,0
8,696651,201.45761,224.61717,33,1,0.96149296,2
9,504463,341.76645,330.52786,29,1,0.5423609,0
10,634004,288.42212,347.39954,31,31,0.99995685,3
11,634004,220.89783,296.90018,31,32,0.9994031,4
12,671602,257.72583,260.0629,35,32,0.9999999,4
13,542586,208.0242,329.48022,18,1,0.99947435,0
14,542586,262.70618,160.53395,18,31,0.99199075,0
15,509387,319.02002,389.5901,55,1,0.9998809,0
16,388195,337.03662,225.16174,44,1,0.9421165,0
17,510918,344.78662,290.00552,1,31,0.99105835,0
18,634004,406.24402,322.20825,13,1,0.9999969,0
19,656086,187.33038,322.33957,16,5,1.0,2
20,655670,316.2323,343.12732,4,5,0.999995,0
21,657255,317.0442,325.10156,0,31,0.95108706,0
22,640474,208.84082,335.39612,21,5,0.99953854,0
23,656435,172.95862,135.50815,25,1,0.99999034,1
24,696683,176.73058,133.87283,22,5,0.9999342,2
25,656086,195.06424,322.74628,6,5,0.9999999,2
26,696341,192.14117,354.92322,59,1,0.9997398,0
27,656448,307.0861,270.352,19,5,0.9092035,0
28,656435,78.48664,289.7152,22,1,0.9999999,1
29,683084,300.7105,269.83746,48,5,0.99997675,0
30,697011,265.5423,292.35675,61,32,0.96657026,0
31,655584,130.35228,233.80981,69,1,0.99354905,0
32,639356,215.50885,263.00153,59,1,0.9941309,0
33,639356,136.80144,266.30075,59,5,0.6862218,0
34,688345,292.12592,280.20618,29,32,0.9999913,0
35,688406,113.38361,340.56897,5,31,0.8669059,0
36,421454,317.54535,287.92523,69,1,0.9698242,1
37,671826,210.39185,128.02066,17,5,0.9987147,0
38,388195,344.5181,159.79678,35,5,0.8305,0
39,647770,276.6769,262.89804,44,31,0.9534071,0
40,647770,272.5925,258.39783,44,31,0.925461,0
41,697011,194.40767,210.2798,32,5,0.92790824,0
42,683084,326.63544,202.57175,15,5,0.8559472,0
43,647506,298.25037,334.06808,25,31,0.9999198,0
44,647506,294.55685,334.76535,25,31,0.6509217,0
45,686152,417.42294,213.4997,32,1,0.5526712,0
46,680061,439.71674,247.62,6,1,0.9999896,1
47,656435,222.52704,260.7858,51,1,0.99248755,0
48,656435,218.43304,268.0809,51,1,0.7237117,0
49,656435,344.78967,230.3366,51,1,0.7232349,0
50,648429,381.1344,162.48376,45,1,0.9732727,0
51,689196,188.62717,354.82034,9,5,0.9999429,0
52,698478,305.0067,262.5775,41,31,0.9999902,4
53,655446,227.06721,263.64227,39,31,0.99999535,4
54,655446,225.83803,264.42383,39,31,0.9999293,4
55,421454,256.5189,202.376,5,31,0.9999732,0
56,421454,256.7943,200.07648,5,31,0.99782157,0
57,421454,274.2287,231.74005,5,31,0.92209786,0
58,688302,161.4693,292.27295,40,1,0.99872917,0
59,688302,234.35034,237.33148,40,32,0.97706884,0
60,688302,163.04501,295.2943,40,1,0.801487,0
61,688302,285.8989,270.26184,40,31,0.63326985,0
62,688302,239.1135,238.72568,40,32,0.527648,0
63,689196,255.04547,282.63745,2,31,0.9942568,0
64,680411,157.09877,274.4339,43,1,0.9979372,0
65,680411,189.62924,298.8573,43,5,0.99328667,0
66,675147,282.51862,269.926,15,31,0.9999999,0
67,675147,430.4168,301.02484,15,1,0.9998683,0
68,504463,413.90662,285.284,77,1,0.999864,0
69,689092,147.61015,377.74036,27,1,0.99999666,0
70,689092,149.81929,380.3969,27,1,0.9996655,0
71,639412,125.23082,326.65692,8,5,0.92135525,0
72,664353,245.1188,313.80103,38,1,0.6363566,0
73,656435,252.80199,353.1192,57,31,0.98858196,0
74,542586,301.41394,195.99338,27,32,0.9995977,0
75,686152,246.0646,282.07007,16,31,0.99999547,3
76,686152,213.11603,151.8985,16,5,0.8051007,2
77,647770,84.86893,183.40195,26,1,0.9998066,0
78,696341,291.85114,289.63193,0,31,0.9999174,0
79,675147,113.48273,135.06703,21,1,0.9999683,1
80,639399,156.01439,222.95413,44,5,0.99999833,2
81,639412,388.92538,329.97656,9,5,0.9999989,0
82,421454,359.65036,334.55597,33,1,0.637169,0
83,688404,122.63332,180.58185,42,1,0.987186,1
84,686152,267.89465,280.84912,9,31,0.9999995,3
85,688345,251.22527,280.17664,42,32,0.9998192,0
