,seriesuid,coordX,coordY,coordZ,class,probability,label
0,639399,118.155624,219.23503,29,5,0.9442986,2
1,639399,147.5595,195.78777,29,5,0.82365674,2
2,639399,109.66266,209.19528,29,5,0.83350414,2
3,639399,435.18866,251.17355,29,1,0.7860956,0
4,639399,131.73026,210.87204,29,5,0.7790198,2
5,639399,171.71684,198.35394,29,5,0.7294825,2
6,639399,131.83105,231.46732,29,5,0.7262379,2
7,639399,115.38281,205.81042,29,5,0.7365111,2
8,639399,140.14584,180.97687,29,5,0.74730843,2
9,639399,387.6283,196.24545,29,5,0.7929498,0
10,639399,151.3251,180.91974,29,5,0.6568217,2
11,639399,339.0859,372.57962,29,1,0.6704213,0
12,639399,112.756485,231.05328,29,5,0.6030086,2
13,639399,184.01202,182.1049,29,5,0.59741914,0
14,639399,152.08531,212.76297,29,5,0.58319265,2
15,639399,179.11339,211.79117,29,5,0.57340515,0
16,639399,204.02869,164.80199,29,5,0.55052364,0
17,639399,419.89636,208.24251,29,1,0.5580501,0
18,639399,203.33089,171.66745,29,5,0.50865704,0
19,639399,428.51907,277.67166,29,1,0.51049674,0
20,639399,381.41296,204.1109,29,5,0.5015125,0
21,639399,196.53117,180.36072,29,5,0.5198146,0
22,639399,175.81445,244.78351,29,1,0.5254377,0
23,639399,202.25381,188.65637,29,31,0.6484246,0
24,639399,197.19594,188.44012,29,5,0.67399675,0
25,407431,403.32806,305.6722,28,1,0.91446096,0
26,407431,192.66435,196.06989,28,31,0.90036076,0
27,407431,183.57257,132.26227,28,5,0.89027435,2
28,407431,183.81378,139.33661,28,5,0.8106905,2
29,407431,277.19623,299.531,28,32,0.84099513,0
30,407431,275.63156,299.29114,28,32,0.9635353,0
31,407431,187.06487,252.47485,28,31,0.78041667,0
32,407431,196.11455,201.43927,28,31,0.7087422,0
33,407431,181.20613,125.3748,28,5,0.83256376,2
34,407431,403.28052,306.94296,28,1,0.65957636,0
35,407431,291.30273,187.28313,28,31,0.55249125,0
36,407431,367.25732,356.55887,28,5,0.63032913,2
37,407431,337.38004,149.63484,28,1,0.51190335,0
38,407431,275.48822,298.36514,28,32,0.6469724,0
39,407431,397.01657,303.85132,28,5,0.5864954,0
40,407431,271.52448,299.55383,28,32,0.86350584,0
41,655679,450.3676,338.7134,12,1,0.6569975,0
42,655679,108.65756,356.08704,12,1,0.5947004,0
43,655679,266.58542,258.63983,12,31,0.5208521,0
44,631673,405.81735,187.79878,21,5,0.94090325,0
45,631673,75.642136,247.68294,21,5,0.77897567,0
46,631673,399.2851,200.56802,21,5,0.7252082,2
47,631673,136.62212,140.5419,21,5,0.71561986,0
48,631673,407.4892,173.63962,21,5,0.68633145,0
49,631673,411.55005,203.68138,21,5,0.54874384,2
50,631673,94.410545,185.11865,21,5,0.84148616,0
51,631673,173.18452,138.90457,21,1,0.5315203,0
52,631673,210.95506,283.53116,21,1,0.65780264,0
53,631673,259.14758,306.84964,21,31,0.51730746,0
54,631673,226.09047,298.5135,21,1,0.50187033,0
55,631673,415.01215,262.85324,21,5,0.5102169,2
56,631673,323.6764,284.09625,21,5,0.52198195,0
57,631673,186.42017,340.75848,21,1,0.501651,0
58,631673,323.88065,323.6939,21,1,0.5341572,0
59,631673,210.80682,277.5079,21,5,0.555126,0
60,639356,325.89554,269.68243,63,5,0.9577513,0
61,639356,317.01846,268.06458,63,5,0.8967834,0
62,639356,206.34052,282.68408,63,5,0.8291073,0
63,639356,210.87393,274.8139,63,5,0.7805774,0
64,639356,328.51825,275.35022,63,5,0.7572426,0
65,639356,204.5149,264.28845,63,5,0.726342,0
66,639356,211.35648,260.0022,63,5,0.687563,0
67,639356,323.0972,262.15738,63,5,0.63822407,0
68,639356,210.9439,289.93353,63,5,0.78373,0
69,639356,207.9516,252.79611,63,5,0.58260554,0
70,639356,327.6446,272.65155,63,5,0.65044147,0
71,504463,190.08847,315.96045,25,1,0.6591265,0
72,504463,438.33273,244.8171,25,1,0.59427696,0
73,504463,428.0339,298.81046,25,1,0.52755785,0
74,504463,73.57705,291.69592,25,1,0.5342769,0
75,504463,441.28317,242.98904,25,1,0.51944566,0
76,504463,140.63782,341.69244,25,1,0.5046113,0
77,648061,248.79565,278.58093,47,31,0.88733786,0
78,648061,195.49231,214.0955,47,1,0.8154826,0
79,648061,320.13135,205.17513,47,1,0.70794237,0
80,648061,309.41235,338.41504,47,1,0.73749477,0
81,648061,246.40207,281.95334,47,31,0.71236926,0
82,648061,247.11961,278.41602,47,31,0.67237383,0
83,648061,220.47878,219.02963,47,31,0.50171334,0
84,656754,361.43793,345.18427,11,5,0.6042603,0
85,656754,360.10742,348.64587,11,5,0.61337495,0
86,522487,349.95898,209.00525,41,1,0.9067254,0
87,522487,307.78278,198.59518,41,5,0.8288272,0
88,522487,457.15192,261.04346,41,5,0.79661685,0
89,522487,299.34467,179.67691,41,5,0.83211386,0
90,522487,317.89078,214.35486,41,5,0.7360465,0
91,522487,453.23508,267.0078,41,5,0.57052517,0
92,522487,453.2918,253.63177,41,5,0.5668898,0
93,522487,346.3514,212.59035,41,1,0.66243744,0
94,522487,190.93445,230.5659,41,5,0.56287926,0
95,522487,162.36197,236.35725,41,1,0.538733,0
96,522487,339.6133,259.95316,41,5,0.58368796,0
97,631673,322.56918,370.58307,24,1,0.8610177,0
98,631673,386.8168,226.26744,24,5,0.8086848,0
99,631673,394.7666,333.78677,24,1,0.6700247,0
100,631673,407.51962,275.30695,24,1,0.72424096,0
101,631673,398.33826,206.94153,24,5,0.6095731,0
102,631673,403.51776,196.1542,24,5,0.5925947,0
103,631673,322.4755,374.43167,24,1,0.59987587,0
104,631673,375.25476,240.99918,24,5,0.5568801,0
105,631673,146.54703,108.10315,24,5,0.7166048,0
106,631673,324.5504,373.5322,24,1,0.61353207,0
107,631673,330.7876,372.61438,24,1,0.5295955,0
108,631673,180.98021,123.410324,24,1,0.5656723,0
109,509387,337.9861,236.71948,39,1,0.63342625,0
110,509387,181.03384,285.3279,39,1,0.73293597,0
111,629054,237.75775,123.77337,20,31,0.8931986,0
112,629054,417.9057,144.6576,20,1,0.86007154,0
113,629054,233.15994,122.603836,20,31,0.62846214,0
114,629054,400.90204,204.12263,20,5,0.67581916,0
115,629054,193.98697,309.68457,20,1,0.5024439,0
116,629054,413.56842,147.54709,20,1,0.7272839,0
117,629054,138.89137,133.29898,20,1,0.6073984,0
118,388195,417.95312,277.63248,12,5,0.87046456,0
119,388195,180.41412,355.59467,12,5,0.80279505,0
120,388195,174.44385,346.72125,12,5,0.8027237,0
121,388195,182.43402,340.74176,12,5,0.77428496,0
122,388195,406.69638,285.79172,12,5,0.7218633,0
123,388195,102.033264,317.8117,12,1,0.75427,0
124,388195,180.57266,325.31802,12,5,0.710296,0
125,388195,338.6528,333.98587,12,1,0.63817453,0
126,388195,198.17743,311.61176,12,5,0.6255753,0
127,388195,413.03708,150.46284,12,1,0.61631626,0
128,388195,419.6181,290.95148,12,5,0.53331476,0
129,388195,348.09805,251.42908,12,5,0.5348645,0
130,388195,410.7414,266.65668,12,5,0.5468181,0
131,388195,211.7536,307.69833,12,5,0.5004505,0
132,388195,130.97632,347.7646,12,1,0.6334905,0
133,388195,362.6656,349.01608,12,1,0.559833,0
134,698478,408.09207,274.94788,24,1,0.8514161,0
135,698478,173.71259,366.4879,24,5,0.8287508,0
136,698478,374.00583,184.32878,24,1,0.7765232,0
137,698478,159.51329,180.23643,24,5,0.6631679,0
138,698478,169.94534,359.02182,24,5,0.61628115,0
139,698478,385.8725,219.66823,24,1,0.6994726,0
140,698478,107.48718,191.9696,24,5,0.5674202,0
141,698478,156.05937,195.92406,24,5,0.53110236,0
142,698478,364.38995,175.67583,24,5,0.54274976,0
